,number,value,datetime_start,datetime_complete,duration,params_boosting,params_feature_fraction,params_learning_rate,params_num_leaves,params_other_rate,params_top_rate,user_attrs_test_error,user_attrs_train_error,user_attrs_uuid,state
818,818,0.3535528596187175,2021-10-14 15:36:28.526189,2021-10-14 15:36:29.067270,0 days 00:00:00.541081,goss,0.1260074541126139,0.01578244151104777,677,0.20176733234880245,0.6620202605133374,0.3535528596187175,0.3414869029275809,6d392a0b-3d01-4286-803c-6fdfbb36a9ed,COMPLETE
819,819,0.3535528596187175,2021-10-14 15:36:29.071279,2021-10-14 15:36:29.569605,0 days 00:00:00.498326,goss,0.022433287978063418,0.02003344974457377,653,0.15440653236932875,0.8366440958303809,0.3535528596187175,0.3414869029275809,ca4b4070-bf01-4081-ae5a-0de34dbb047c,COMPLETE
820,820,0.3535528596187175,2021-10-14 15:36:29.572606,2021-10-14 15:36:30.020603,0 days 00:00:00.447997,goss,0.14598971204427694,0.019663458595987206,813,0.20470315880820333,0.6892223526076278,0.3535528596187175,0.3414869029275809,d4ca674e-7a5f-47ae-b1cf-390fd0198628,COMPLETE
821,821,0.3535528596187175,2021-10-14 15:36:30.023603,2021-10-14 15:36:30.718824,0 days 00:00:00.695221,goss,0.14542459659117413,0.014878788447013994,655,0.2673406643920696,0.7166080396441913,0.3535528596187175,0.3414869029275809,a94f371f-c397-49f8-afcc-66277ca5830f,COMPLETE
822,822,0.3535528596187175,2021-10-14 15:36:30.722817,2021-10-14 15:36:31.205815,0 days 00:00:00.482998,goss,0.14033881937092904,0.003766061021430641,812,0.1524588718731001,0.7905888556067302,0.3535528596187175,0.3414869029275809,3332545a-61fe-4095-8c41-7d1a588bd123,COMPLETE
823,823,0.3535528596187175,2021-10-14 15:36:31.209824,2021-10-14 15:36:31.674355,0 days 00:00:00.464531,goss,0.12788018876539162,0.0032024386201275246,641,0.15217057811450405,0.7306781521815575,0.3535528596187175,0.3414869029275809,4d48cc14-b9dd-4926-913c-9d32434224cb,COMPLETE
824,824,0.3535528596187175,2021-10-14 15:36:31.677354,2021-10-14 15:36:32.100349,0 days 00:00:00.422995,goss,0.1492203760962987,0.003391340013002007,810,0.25912181947853136,0.6984470350873228,0.3535528596187175,0.3414869029275809,b5a3c011-4915-4136-96c8-9737d03dc147,COMPLETE
825,825,0.3535528596187175,2021-10-14 15:36:32.103350,2021-10-14 15:36:32.545352,0 days 00:00:00.442002,goss,0.036241495631222365,0.0031899109240501856,829,0.1276106623911563,0.847277702833197,0.3535528596187175,0.3414869029275809,53715777-62e3-479f-bd3e-f7f42f6cbd36,COMPLETE
826,826,0.3535528596187175,2021-10-14 15:36:32.548350,2021-10-14 15:36:32.969353,0 days 00:00:00.421003,goss,0.15979619397591488,0.0026487586143788336,842,0.18333536710656745,0.8097746777839187,0.3535528596187175,0.3414869029275809,2c2532e7-9ff5-413a-b17e-72f30d45221c,COMPLETE
827,827,0.3535528596187175,2021-10-14 15:36:32.973352,2021-10-14 15:36:33.393353,0 days 00:00:00.420001,goss,0.005836569643733418,0.023588296671183423,817,0.1015676547771775,0.6319169262554815,0.3535528596187175,0.3414869029275809,b93c0d11-b250-4f25-bc0d-f4fce1b7cb31,COMPLETE
828,828,0.3535528596187175,2021-10-14 15:36:33.397350,2021-10-14 15:36:33.814575,0 days 00:00:00.417225,goss,0.1606193943638228,0.002847907884553055,836,0.2212820847185412,0.6504159997165412,0.3535528596187175,0.3414869029275809,0deb5a69-ad66-4d7a-a38a-f96a433cdba4,COMPLETE
829,829,0.3535528596187175,2021-10-14 15:36:33.818576,2021-10-14 15:36:34.215576,0 days 00:00:00.397000,goss,0.14391001442279924,0.001986055879934474,838,0.15034630122984988,0.6485359109497831,0.3535528596187175,0.3414869029275809,846b8ef0-811b-4d66-93fa-165b70dace5b,COMPLETE
830,830,0.3535528596187175,2021-10-14 15:36:34.218578,2021-10-14 15:36:34.588574,0 days 00:00:00.369996,gbdt,0.1622237798817064,0.002881984995150861,845,,,0.3535528596187175,0.3414869029275809,facfeaa7-5c85-4641-928f-26deb9a94457,COMPLETE
831,831,0.3535528596187175,2021-10-14 15:36:34.591572,2021-10-14 15:36:34.991575,0 days 00:00:00.400003,gbdt,0.16490501707484864,0.0018802682517424167,849,,,0.3535528596187175,0.3414869029275809,76acb6f4-1e84-42ec-baa2-ede3de1f2f29,COMPLETE
832,832,0.3535528596187175,2021-10-14 15:36:34.995577,2021-10-14 15:36:35.375766,0 days 00:00:00.380189,gbdt,0.16466209075679586,0.0019233634998065752,638,,,0.3535528596187175,0.3414869029275809,d75f5419-7821-42a6-97d4-3569d83c28f8,COMPLETE
833,833,0.3535528596187175,2021-10-14 15:36:35.378764,2021-10-14 15:36:35.776764,0 days 00:00:00.398000,gbdt,0.17430749534123177,0.0024847871888995002,862,,,0.3535528596187175,0.3414869029275809,5c335192-5cb5-4d9f-a9a7-7a4be30f7ab3,COMPLETE
834,834,0.3535528596187175,2021-10-14 15:36:35.779764,2021-10-14 15:36:36.143302,0 days 00:00:00.363538,gbdt,0.16376103768367195,0.0018862139368447564,856,,,0.3535528596187175,0.3414869029275809,a06a6339-36c7-43cb-8ec3-0d38620e7bec,COMPLETE
835,835,0.3535528596187175,2021-10-14 15:36:36.146301,2021-10-14 15:36:36.533297,0 days 00:00:00.386996,gbdt,0.17615129388969988,0.002203984421812095,852,,,0.3535528596187175,0.3414869029275809,ca93b26b-0cb9-4d57-a4a3-c063c2b7d94b,COMPLETE
836,836,0.3535528596187175,2021-10-14 15:36:36.537296,2021-10-14 15:36:36.916297,0 days 00:00:00.379001,gbdt,0.2079531642023673,0.002564454772939691,838,,,0.3535528596187175,0.3414869029275809,e4ccdac5-9854-4a93-afaf-39d505a1733f,COMPLETE
837,837,0.3535528596187175,2021-10-14 15:36:36.921297,2021-10-14 15:36:37.278028,0 days 00:00:00.356731,gbdt,0.18018144256434726,0.0022140932475242774,877,,,0.3535528596187175,0.3414869029275809,829049b7-6fa0-4944-9a89-08d88f368110,COMPLETE
838,838,0.3535528596187175,2021-10-14 15:36:37.282029,2021-10-14 15:36:37.644031,0 days 00:00:00.362002,gbdt,0.21096460294163102,0.0018632599559336518,881,,,0.3535528596187175,0.3414869029275809,1b44ca61-0e60-45d3-a07f-e2abed26f161,COMPLETE
839,839,0.3535528596187175,2021-10-14 15:36:37.647032,2021-10-14 15:36:38.022028,0 days 00:00:00.374996,gbdt,0.2208086976544332,0.0025659238760656284,862,,,0.3535528596187175,0.3414869029275809,d588af03-734d-4342-b86c-c74f372848e0,COMPLETE
840,840,0.3535528596187175,2021-10-14 15:36:38.027027,2021-10-14 15:36:38.428180,0 days 00:00:00.401153,gbdt,0.19716226429995934,0.0017464329277020968,831,,,0.3535528596187175,0.3414869029275809,ea02702e-a385-45fc-bfae-804e76b4e7aa,COMPLETE
841,841,0.3535528596187175,2021-10-14 15:36:38.431178,2021-10-14 15:36:38.815172,0 days 00:00:00.383994,gbdt,0.19175986339665557,0.0022779001960489156,877,,,0.3535528596187175,0.3414869029275809,afc25572-2f88-4cb5-b187-3ec6ac28a6b7,COMPLETE
842,842,0.3535528596187175,2021-10-14 15:36:38.818175,2021-10-14 15:36:39.211373,0 days 00:00:00.393198,gbdt,0.21650406259579802,0.0021624059133272078,878,,,0.3535528596187175,0.3414869029275809,aa4149af-8149-4340-b1be-5e58dc08dd25,COMPLETE
843,843,0.3535528596187175,2021-10-14 15:36:39.214373,2021-10-14 15:36:39.598372,0 days 00:00:00.383999,gbdt,0.17902608295926828,0.002708198081810454,864,,,0.3535528596187175,0.3414869029275809,7aeb8bef-dd68-4553-ade9-2bc425d46dea,COMPLETE
844,844,0.3535528596187175,2021-10-14 15:36:39.601370,2021-10-14 15:36:39.976453,0 days 00:00:00.375083,gbdt,0.2396268633387063,0.0017306535631318295,882,,,0.3535528596187175,0.3414869029275809,20bee20f-1bb7-4c0e-9ff8-4f509c5e13aa,COMPLETE
845,845,0.3535528596187175,2021-10-14 15:36:39.980449,2021-10-14 15:36:40.378446,0 days 00:00:00.397997,gbdt,0.2266647190211109,0.0029380146946158094,861,,,0.3535528596187175,0.3414869029275809,5f503486-340e-4106-8ad8-8e8c12c25cb3,COMPLETE
846,846,0.3535528596187175,2021-10-14 15:36:40.381448,2021-10-14 15:36:40.767446,0 days 00:00:00.385998,gbdt,0.24243381787472276,0.0023250121741587634,637,,,0.3535528596187175,0.3414869029275809,327f8391-a54f-4cf5-8be3-e1fa80323efd,COMPLETE
847,847,0.3535528596187175,2021-10-14 15:36:40.770445,2021-10-14 15:36:41.138447,0 days 00:00:00.368002,gbdt,0.2494134683767904,0.0023400543882962084,879,,,0.3535528596187175,0.3414869029275809,a740831f-fddc-4718-9f0d-c7ae34fdb3a4,COMPLETE
848,848,0.3535528596187175,2021-10-14 15:36:41.141442,2021-10-14 15:36:41.535561,0 days 00:00:00.394119,gbdt,0.21890826807035413,0.0015784303252080853,894,,,0.3535528596187175,0.3414869029275809,722d9cd1-82cc-453b-aa5d-aeac13c53f84,COMPLETE
849,849,0.3535528596187175,2021-10-14 15:36:41.538559,2021-10-14 15:36:41.975540,0 days 00:00:00.436981,gbdt,0.22999598029100593,0.0017361084706984816,885,,,0.3535528596187175,0.3414869029275809,c54f59fe-d09c-41ea-a0d5-fd731c56fb74,COMPLETE
850,850,0.3535528596187175,2021-10-14 15:36:41.979539,2021-10-14 15:36:42.403078,0 days 00:00:00.423539,gbdt,0.2613023759843604,0.0019460371319094533,864,,,0.3535528596187175,0.3414869029275809,7a3f6109-2b8b-47d5-85df-c5b77e2cd160,COMPLETE
851,851,0.3535528596187175,2021-10-14 15:36:42.406076,2021-10-14 15:36:42.773083,0 days 00:00:00.367007,gbdt,0.24046174978295662,0.001588768820152451,621,,,0.3535528596187175,0.3414869029275809,519bead7-501d-4a3e-8e3a-4226036ea9f1,COMPLETE
852,852,0.3535528596187175,2021-10-14 15:36:42.776084,2021-10-14 15:36:43.127148,0 days 00:00:00.351064,gbdt,0.20421005651720503,0.0014541517218136831,617,,,0.3535528596187175,0.3414869029275809,b13d687e-4490-42f3-8071-e91ccb840636,COMPLETE
853,853,0.3535528596187175,2021-10-14 15:36:43.131148,2021-10-14 15:36:43.566162,0 days 00:00:00.435014,gbdt,0.22752419788546413,0.0016754509686794663,862,,,0.3535528596187175,0.3414869029275809,9952680e-6aab-41f6-8688-a0d212e1a6ce,COMPLETE
854,854,0.3535528596187175,2021-10-14 15:36:43.570155,2021-10-14 15:36:43.999151,0 days 00:00:00.428996,gbdt,0.2612874493867823,0.0013412217297638237,847,,,0.3535528596187175,0.3414869029275809,a02c836d-44d0-4416-90ed-b0ee88d96049,COMPLETE
855,855,0.3535528596187175,2021-10-14 15:36:44.002152,2021-10-14 15:36:44.388149,0 days 00:00:00.385997,gbdt,0.21456605173238763,0.0014997024118549398,889,,,0.3535528596187175,0.3414869029275809,15c8f24a-4065-4b4a-96b2-516910646adc,COMPLETE
856,856,0.3535528596187175,2021-10-14 15:36:44.393152,2021-10-14 15:36:44.786154,0 days 00:00:00.393002,gbdt,0.24507672198752428,0.001358955262236557,612,,,0.3535528596187175,0.3414869029275809,09d6d992-8a45-4f8d-af58-8ee33d5a59ba,COMPLETE
857,857,0.3535528596187175,2021-10-14 15:36:44.789153,2021-10-14 15:36:45.136149,0 days 00:00:00.346996,gbdt,0.20448708696094528,0.0021154739585675206,626,,,0.3535528596187175,0.3414869029275809,f4c57983-6862-4530-86f8-cc82d1cd1cff,COMPLETE
858,858,0.3535528596187175,2021-10-14 15:36:45.139146,2021-10-14 15:36:45.490147,0 days 00:00:00.351001,gbdt,0.19333745533474647,0.0013242823127793647,610,,,0.3535528596187175,0.3414869029275809,3bab56eb-c05d-4406-86b9-96f83815bd6d,COMPLETE
859,859,0.3535528596187175,2021-10-14 15:36:45.499149,2021-10-14 15:36:45.860156,0 days 00:00:00.361007,gbdt,0.22804211714782827,0.0012217141208271383,892,,,0.3535528596187175,0.3414869029275809,bc50ce98-383c-417e-8e58-a2638d01e6ec,COMPLETE
860,860,0.3535528596187175,2021-10-14 15:36:45.865149,2021-10-14 15:36:46.220153,0 days 00:00:00.355004,gbdt,0.19483168872688508,0.0013417552003089188,630,,,0.3535528596187175,0.3414869029275809,2dc8c589-31fe-4e1f-83f1-55ea2f63a118,COMPLETE
861,861,0.3535528596187175,2021-10-14 15:36:46.223146,2021-10-14 15:36:46.636146,0 days 00:00:00.413000,gbdt,0.2541931105116597,0.0015001778767672572,905,,,0.3535528596187175,0.3414869029275809,b1da16db-39f3-4a2b-acec-123adf3c9fdc,COMPLETE
862,862,0.3535528596187175,2021-10-14 15:36:46.639144,2021-10-14 15:36:47.010149,0 days 00:00:00.371005,gbdt,0.1863489080951796,0.0012488553381399168,905,,,0.3535528596187175,0.3414869029275809,23d22e47-1f6d-4d2c-915d-620030c51bd2,COMPLETE
863,863,0.3535528596187175,2021-10-14 15:36:47.014147,2021-10-14 15:36:47.349689,0 days 00:00:00.335542,gbdt,0.2126268741059119,0.0011185783168347575,621,,,0.3535528596187175,0.3414869029275809,ce80c2bd-4f0c-43f6-9587-b87545d2182b,COMPLETE
864,864,0.3535528596187175,2021-10-14 15:36:47.352682,2021-10-14 15:36:47.730216,0 days 00:00:00.377534,gbdt,0.2280225578658401,0.001221993119379546,915,,,0.3535528596187175,0.3414869029275809,eed7f2e5-e746-44e3-aacf-2a89e80edd09,COMPLETE
865,865,0.3535528596187175,2021-10-14 15:36:47.733215,2021-10-14 15:36:48.134217,0 days 00:00:00.401002,gbdt,0.2710974482249904,0.0014346724974223157,915,,,0.3535528596187175,0.3414869029275809,f2dcf8bb-a18f-4b1d-a18a-61fcd1711851,COMPLETE
866,866,0.3535528596187175,2021-10-14 15:36:48.138214,2021-10-14 15:36:48.576217,0 days 00:00:00.438003,gbdt,0.2069589040510979,0.0010461146382277336,904,,,0.3535528596187175,0.3414869029275809,d3e1513f-39a5-412e-83ca-7cee8e959eb7,COMPLETE
867,867,0.3535528596187175,2021-10-14 15:36:48.579215,2021-10-14 15:36:48.992223,0 days 00:00:00.413008,gbdt,0.23747373716227885,0.0011210361178645226,917,,,0.3535528596187175,0.3414869029275809,5191784d-d57c-4652-b9bb-d6eab0bcfaae,COMPLETE
868,868,0.3535528596187175,2021-10-14 15:36:48.996214,2021-10-14 15:36:49.413221,0 days 00:00:00.417007,gbdt,0.2396852862951279,0.001019116224359709,925,,,0.3535528596187175,0.3414869029275809,2dd8b8fd-ed9f-49f4-8c8d-ecec9c4f7fc5,COMPLETE
869,869,0.3535528596187175,2021-10-14 15:36:49.418220,2021-10-14 15:36:49.818217,0 days 00:00:00.399997,gbdt,0.20099085082640225,0.001089977864755104,932,,,0.3535528596187175,0.3414869029275809,e376d0ce-af8e-4cc0-8183-504a9400c7ee,COMPLETE
870,870,0.3535528596187175,2021-10-14 15:36:49.822216,2021-10-14 15:36:50.202215,0 days 00:00:00.379999,gbdt,0.2734361017222472,0.000979714412960986,925,,,0.3535528596187175,0.3414869029275809,f710dfbb-b2e8-471e-bd15-a240f40131d9,COMPLETE
871,871,0.3535528596187175,2021-10-14 15:36:50.205220,2021-10-14 15:36:50.646217,0 days 00:00:00.440997,gbdt,0.22663869486526614,0.0012816014162028494,937,,,0.3535528596187175,0.3414869029275809,ddbce24e-20c4-41bd-93df-31aed7988740,COMPLETE
872,872,0.3535528596187175,2021-10-14 15:36:50.649217,2021-10-14 15:36:51.025839,0 days 00:00:00.376622,gbdt,0.18419334427264333,0.0009287649550164324,906,,,0.3535528596187175,0.3414869029275809,edc208fc-825d-420d-933f-5f78b6f7a934,COMPLETE
873,873,0.3535528596187175,2021-10-14 15:36:51.029838,2021-10-14 15:36:51.411373,0 days 00:00:00.381535,gbdt,0.24866481188244086,0.0008585044768575986,937,,,0.3535528596187175,0.3414869029275809,a5de1606-601d-44a1-8f17-925e2ba58612,COMPLETE
874,874,0.3535528596187175,2021-10-14 15:36:51.414372,2021-10-14 15:36:51.847371,0 days 00:00:00.432999,gbdt,0.20557440282518358,0.001077995346506061,944,,,0.3535528596187175,0.3414869029275809,2de1685c-c102-4ad4-9ecf-f5a27f9d7291,COMPLETE
875,875,0.3535528596187175,2021-10-14 15:36:51.850373,2021-10-14 15:36:52.278377,0 days 00:00:00.428004,gbdt,0.18907789894012308,0.0008739644562213983,928,,,0.3535528596187175,0.3414869029275809,0c3801fb-8044-411b-bbaf-5fc0b17f365b,COMPLETE
876,876,0.3535528596187175,2021-10-14 15:36:52.282373,2021-10-14 15:36:52.713375,0 days 00:00:00.431002,gbdt,0.1792323139749273,0.0008472387168745077,926,,,0.3535528596187175,0.3414869029275809,940fa4c9-7230-4054-a30e-978762d514f2,COMPLETE
877,877,0.3535528596187175,2021-10-14 15:36:52.717373,2021-10-14 15:36:53.199375,0 days 00:00:00.482002,gbdt,0.2549776026500606,0.0010673658410983598,913,,,0.3535528596187175,0.3414869029275809,48d8a815-2c6d-4c83-a7f7-325f3a559415,COMPLETE
878,878,0.3535528596187175,2021-10-14 15:36:53.202373,2021-10-14 15:36:53.632919,0 days 00:00:00.430546,gbdt,0.9768713697990126,0.0007831664666938411,942,,,0.3535528596187175,0.3414869029275809,dee95210-3186-4785-8fa0-737f89f0cd36,COMPLETE
