Date,Price,Open,High,Low,Vol.,Change %
2019-12-27,18.506,18.42,18.42,18.42,0.45K,-0.26%
2019-12-26,18.555,18.469,18.469,18.469,0.92K,4.05%
2019-12-25,17.832,17.85,17.863,17.808,-,-3.20%
2019-12-24,18.421,18.18,18.18,18.18,0.00K,1.96%
2019-12-23,18.067,17.981,17.981,17.981,0.78K,4.75%
2019-12-22,17.247,17.262,17.262,17.238,-,-3.06%
2019-12-20,17.792,17.706,17.706,17.706,0.22K,0.39%
2019-12-19,17.722,17.636,17.636,17.636,0.14K,0.59%
2019-12-18,17.618,17.532,17.532,17.532,0.44K,-0.12%
2019-12-17,17.64,17.554,17.554,17.554,0.24K,-0.23%
2019-12-16,17.681,17.595,17.595,17.595,0.34K,4.11%
2019-12-15,16.983,17.0,17.027,16.98,-,-3.42%
2019-12-13,17.585,17.499,17.499,17.499,0.58K,0.33%
2019-12-12,17.528,17.442,17.442,17.442,0.25K,0.59%
2019-12-11,17.426,17.34,17.34,17.34,0.71K,0.83%
2019-12-10,17.283,17.197,17.197,17.197,0.83K,0.37%
2019-12-09,17.22,17.134,17.134,17.134,0.54K,3.50%
2019-12-08,16.637,16.602,16.637,16.598,-,-3.16%
2019-12-06,17.18,17.094,17.094,17.094,1.16K,-2.66%
2019-12-05,17.65,17.564,17.564,17.564,0.97K,0.71%
2019-12-04,17.525,17.439,17.439,17.439,0.48K,-1.93%
2019-12-03,17.87,17.784,17.784,17.784,0.52K,1.57%
2019-12-02,17.593,17.507,17.507,17.507,0.38K,3.11%
2019-12-01,17.062,17.098,17.102,17.052,-,-3.67%
2019-11-29,17.712,17.626,17.626,17.626,0.49K,3.99%
2019-11-28,17.032,17.08,17.102,17.003,-,-3.51%
2019-11-27,17.651,17.565,17.565,17.565,1.40K,-0.69%
2019-11-26,17.773,17.687,17.687,17.687,2.24K,0.95%
2019-11-25,17.606,17.52,17.52,17.52,4.37K,3.37%
2019-11-24,17.032,17.155,17.155,17.01,-,-3.83%
2019-11-22,17.71,17.624,17.624,17.624,1.10K,-0.35%
2019-11-21,17.772,17.686,17.686,17.686,0.83K,-0.25%
2019-11-20,17.817,17.731,17.731,17.731,0.35K,-0.03%
2019-11-19,17.823,17.737,17.737,17.737,0.52K,0.67%
2019-11-18,17.705,17.619,17.619,17.619,1.64K,4.38%
2019-11-17,16.962,16.935,16.968,16.933,-,-3.96%
2019-11-15,17.662,17.576,17.576,17.576,0.85K,-0.49%
2019-11-14,17.749,17.663,17.663,17.663,1.28K,0.63%
2019-11-13,17.638,17.552,17.552,17.552,1.65K,1.26%
2019-11-12,17.418,17.332,17.332,17.332,2.86K,-0.67%
2019-11-11,17.536,17.45,17.45,17.45,1.41K,4.37%
2019-11-10,16.802,16.762,16.808,16.758,-,-4.29%
2019-11-08,17.556,17.47,17.47,17.47,1.70K,-1.11%
2019-11-07,17.753,17.667,17.667,17.667,1.56K,-3.20%
2019-11-06,18.34,18.254,18.254,18.254,0.89K,0.19%
2019-11-05,18.306,18.22,18.22,18.22,0.72K,-2.68%
2019-11-04,18.81,18.724,18.724,18.724,0.79K,3.80%
2019-11-03,18.122,18.11,18.133,18.09,-,-3.54%
2019-11-01,18.787,18.701,18.701,18.701,0.94K,0.01%
2019-10-31,18.785,18.699,18.699,18.699,0.80K,1.16%
2019-10-30,18.57,18.484,18.484,18.484,1.21K,0.34%
2019-10-29,18.507,18.447,18.447,18.447,0.16K,-0.24%
2019-10-28,18.551,18.491,18.491,18.491,0.52K,2.88%
2019-10-27,18.032,18.038,18.062,18.01,-,-3.02%
2019-10-25,18.594,18.534,18.534,18.534,0.71K,0.68%
2019-10-24,18.468,18.408,18.408,18.408,0.70K,1.26%
2019-10-23,18.238,18.178,18.178,18.178,3.34K,0.49%
